latent_key,rollout_id,trial_id,group,dominant_failure_mode,transition_id,from_chunk_id,to_chunk_id,normalized_transition_time,cosine_drift
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,0,0,1,0.0,0.14934816685960506
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,1,1,2,0.05,0.1422267942855091
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,2,2,3,0.1,0.239323121380016
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,3,3,4,0.15,0.4726907120633741
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,4,4,5,0.2,0.38864908327149594
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,5,5,6,0.25,0.1757342083088318
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,6,6,7,0.3,0.47194860198275146
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,7,7,8,0.35,0.6745238082513714
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,8,8,9,0.4,0.5462589734087351
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,9,9,10,0.45,0.33788651973173056
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,10,10,11,0.5,0.28979880581970563
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,11,11,12,0.55,0.24701398764775684
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,12,12,13,0.6,0.2307042492194522
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,13,13,14,0.65,0.21892312183328522
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,14,14,15,0.7,0.6639890533811506
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,15,15,16,0.75,0.521558100948
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,16,16,17,0.8,0.8366259829406055
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,17,17,18,0.85,0.5164389503140393
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,18,18,19,0.9,0.5153602046113434
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,19,19,20,0.95,0.3997877593814462
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,natural_success,success,20,20,21,1.0,0.17979960265620698
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,0,0,1,0.0,0.22107464950760625
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,1,1,2,0.05263157894736842,0.09832903267963711
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,2,2,3,0.10526315789473684,0.08205952106305348
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,3,3,4,0.15789473684210525,0.38057014587121596
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,4,4,5,0.21052631578947367,0.36925204151280444
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,5,5,6,0.2631578947368421,0.20340323671014615
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,6,6,7,0.3157894736842105,0.1972014776283062
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,7,7,8,0.3684210526315789,0.47138197660608383
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,8,8,9,0.42105263157894735,0.74312756455587
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,9,9,10,0.47368421052631576,0.5120627771052739
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,10,10,11,0.5263157894736842,0.27899909872377626
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,11,11,12,0.5789473684210527,0.3270818332760814
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,12,12,13,0.631578947368421,0.2563329604007544
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention_recovered_success,13,13,14,0.6842105263157895,0.25968373338640327
